idx,blocks,b,sizes,J_float,J_recon,wall_s,count_perm
15,"[[0, 1], [2, 3], [4, 5]]",3,"[2, 2, 2]",np.float64(8.748557434046234e-14),0,88.23,ok
16,"[[0, 1, 4, 5], [2], [3]]",3,"[1, 1, 4]",np.float64(9.015010959956271e-14),0,90.7,ok
17,"[[0, 1, 4], [2, 5], [3]]",3,"[1, 2, 3]",np.float64(0.005555555555587344),1/180,105.39,ok
18,"[[0, 1, 4], [2], [3, 5]]",3,"[1, 2, 3]",np.float64(0.005555555555595615),1/180,110.58,ok
19,"[[0, 1, 5], [2, 4], [3]]",3,"[1, 2, 3]",np.float64(0.06666666666672455),1/15,91.78,ok
20,"[[0, 1], [2, 4, 5], [3]]",3,"[1, 2, 3]",np.float64(0.06666666666672788),1/15,93.72,ok
21,"[[0, 1], [2, 4], [3, 5]]",3,"[2, 2, 2]",np.float64(0.005555555555590785),1/180,106.16,ok
22,"[[0, 1, 5], [2], [3, 4]]",3,"[1, 2, 3]",np.float64(8.026912468039882e-14),0,80.73,ok
23,"[[0, 1], [2, 5], [3, 4]]",3,"[2, 2, 2]",np.float64(0.0666666666667255),1/15,85.39,ok
24,"[[0, 1], [2], [3, 4, 5]]",3,"[1, 2, 3]",np.float64(8.748557434046234e-14),0,82.69,ok
25,"[[0, 2, 3, 4], [1], [5]]",3,"[1, 1, 4]",np.float64(0.06666666666671395),1/15,84.86,ok
26,"[[0, 2, 3], [1, 4], [5]]",3,"[1, 2, 3]",np.float64(0.005555555555577574),1/180,101.2,ok
27,"[[0, 2, 3, 5], [1], [4]]",3,"[1, 1, 4]",np.float64(0.0666666666667205),1/15,89.07,ok
28,"[[0, 2, 3], [1, 5], [4]]",3,"[1, 2, 3]",np.float64(0.005555555555592506),1/180,109.31,ok
29,"[[0, 2, 3], [1], [4, 5]]",3,"[1, 2, 3]",np.float64(0.06666666666671395),1/15,86.12,ok
