idx	blocks	profile	J
0	[[0, 1, 2, 3], [4], [5]]	(1, 1, 4)	0
1	[[0, 1, 2, 4], [3], [5]]	(1, 1, 4)	1/15
2	[[0, 1, 2], [3, 4], [5]]	(1, 2, 3)	0
3	[[0, 1, 2, 5], [3], [4]]	(1, 1, 4)	0
4	[[0, 1, 2], [3, 5], [4]]	(1, 2, 3)	1/15
5	[[0, 1, 2], [3], [4, 5]]	(1, 2, 3)	0
6	[[0, 1, 3, 4], [2], [5]]	(1, 1, 4)	1/15
7	[[0, 1, 3], [2, 4], [5]]	(1, 2, 3)	1/180
8	[[0, 1, 3, 5], [2], [4]]	(1, 1, 4)	1/15
9	[[0, 1, 3], [2, 5], [4]]	(1, 2, 3)	1/180
10	[[0, 1, 3], [2], [4, 5]]	(1, 2, 3)	1/15
11	[[0, 1, 4], [2, 3], [5]]	(1, 2, 3)	1/15
12	[[0, 1], [2, 3, 4], [5]]	(1, 2, 3)	0
13	[[0, 1, 5], [2, 3], [4]]	(1, 2, 3)	0
14	[[0, 1], [2, 3, 5], [4]]	(1, 2, 3)	1/15
15	[[0, 1], [2, 3], [4, 5]]	(2, 2, 2)	0
16	[[0, 1, 4, 5], [2], [3]]	(1, 1, 4)	0
17	[[0, 1, 4], [2, 5], [3]]	(1, 2, 3)	1/180
18	[[0, 1, 4], [2], [3, 5]]	(1, 2, 3)	1/180
19	[[0, 1, 5], [2, 4], [3]]	(1, 2, 3)	1/15
20	[[0, 1], [2, 4, 5], [3]]	(1, 2, 3)	1/15
21	[[0, 1], [2, 4], [3, 5]]	(2, 2, 2)	1/180
22	[[0, 1, 5], [2], [3, 4]]	(1, 2, 3)	0
23	[[0, 1], [2, 5], [3, 4]]	(2, 2, 2)	1/15
24	[[0, 1], [2], [3, 4, 5]]	(1, 2, 3)	0
25	[[0, 2, 3, 4], [1], [5]]	(1, 1, 4)	1/15
26	[[0, 2, 3], [1, 4], [5]]	(1, 2, 3)	1/180
27	[[0, 2, 3, 5], [1], [4]]	(1, 1, 4)	1/15
28	[[0, 2, 3], [1, 5], [4]]	(1, 2, 3)	1/180
29	[[0, 2, 3], [1], [4, 5]]	(1, 2, 3)	1/15
30	[[0, 2, 4], [1, 3], [5]]	(1, 2, 3)	11/630
31	[[0, 2], [1, 3, 4], [5]]	(1, 2, 3)	1/180
