idx,blocks,b,sizes,J_float,J_recon,tag,wall_s
0,"[[0, 1, 2], [3], [4], [5]]",4,"[1, 1, 1, 3]",np.float64(-4.168887457467463e-14),0,zero,13.2
1,"[[0, 1, 3], [2], [4], [5]]",4,"[1, 1, 1, 3]",np.float64(-2.55351295663786e-15),0,zero,14.58
2,"[[0, 1], [2, 3], [4], [5]]",4,"[1, 1, 2, 2]",np.float64(-4.168887457467463e-14),0,zero,13.89
3,"[[0, 1, 4], [2], [3], [5]]",4,"[1, 1, 1, 3]",np.float64(-1.942890293094024e-14),0,zero,14.53
4,"[[0, 1], [2, 4], [3], [5]]",4,"[1, 1, 2, 2]",np.float64(-7.66053886991358e-15),0,zero,14.61
5,"[[0, 1], [2], [3, 4], [5]]",4,"[1, 1, 2, 2]",np.float64(-4.168887457467463e-14),0,zero,14.1
6,"[[0, 1, 5], [2], [3], [4]]",4,"[1, 1, 1, 3]",np.float64(-3.091971123581061e-14),0,zero,14.52
7,"[[0, 1], [2, 5], [3], [4]]",4,"[1, 1, 2, 2]",np.float64(-9.880984919163893e-15),0,zero,14.85
8,"[[0, 1], [2], [3, 5], [4]]",4,"[1, 1, 2, 2]",np.float64(-5.662137425588298e-15),0,zero,14.24
9,"[[0, 1], [2], [3], [4, 5]]",4,"[1, 1, 2, 2]",np.float64(-4.168887457467463e-14),0,zero,14.11
10,"[[0, 2, 3], [1], [4], [5]]",4,"[1, 1, 1, 3]",np.float64(-2.525757381022231e-14),0,zero,14.79
11,"[[0, 2], [1, 3], [4], [5]]",4,"[1, 1, 2, 2]",np.float64(-0.0011904761904980021),-1/840,ok,15.09
12,"[[0, 2, 4], [1], [3], [5]]",4,"[1, 1, 1, 3]",np.float64(0.009523809523799442),1/105,ok,14.9
