idx,blocks,b,sizes,J_float,J_recon,tag,wall_s
0,"[[0, 1], [2], [3], [4], [5]]",5,"[1, 1, 1, 1, 2]",np.float64(-4.529709940470639e-14),0,zero,159.09
1,"[[0, 2], [1], [3], [4], [5]]",5,"[1, 1, 1, 1, 2]",np.float64(-3.3306690738754696e-14),0,zero,146.94
2,"[[0], [1, 2], [3], [4], [5]]",5,"[1, 1, 1, 1, 2]",np.float64(-4.529709940470639e-14),0,zero,136.75
3,"[[0, 3], [1], [2], [4], [5]]",5,"[1, 1, 1, 1, 2]",np.float64(-2.7533531010703882e-14),0,zero,142.71
4,"[[0], [1, 3], [2], [4], [5]]",5,"[1, 1, 1, 1, 2]",np.float64(-2.325917236589703e-14),0,zero,142.06
5,"[[0], [1], [2, 3], [4], [5]]",5,"[1, 1, 1, 1, 2]",np.float64(-4.529709940470639e-14),0,zero,135.8
6,"[[0, 4], [1], [2], [3], [5]]",5,"[1, 1, 1, 1, 2]",np.float64(-4.590772206825022e-14),0,zero,140.48
7,"[[0], [1, 4], [2], [3], [5]]",5,"[1, 1, 1, 1, 2]",np.float64(-2.3869795029440866e-14),0,zero,141.47
8,"[[0], [1], [2, 4], [3], [5]]",5,"[1, 1, 1, 1, 2]",np.float64(-3.3639757646142243e-14),0,zero,139.4
9,"[[0], [1], [2], [3, 4], [5]]",5,"[1, 1, 1, 1, 2]",np.float64(-4.529709940470639e-14),0,zero,127.69
10,"[[0, 5], [1], [2], [3], [4]]",5,"[1, 1, 1, 1, 2]",np.float64(-2.2093438190040615e-14),0,zero,131.73
11,"[[0], [1, 5], [2], [3], [4]]",5,"[1, 1, 1, 1, 2]",np.float64(-4.1244785364824565e-14),0,zero,138.16
12,"[[0], [1], [2, 5], [3], [4]]",5,"[1, 1, 1, 1, 2]",np.float64(-3.469446951953614e-14),0,zero,113.38
13,"[[0], [1], [2], [3, 5], [4]]",5,"[1, 1, 1, 1, 2]",np.float64(-4.1466829969749597e-14),0,zero,107.41
14,"[[0], [1], [2], [3], [4, 5]]",5,"[1, 1, 1, 1, 2]",np.float64(-4.529709940470639e-14),0,zero,103.98
